name,section,rating,review,created_at
Aarav,Library,4,"The library portal is much easier to navigate now.",2025-11
Priya,Admissions,2,"The admission form is confusing and difficult to complete.",2025-11
Rohan,Results,5,"Results are displayed much faster than before.",2025-11
Sneha,Attendance Portal,3,"Attendance tracking works but the interface feels cluttered.",2025-11
Aditya,Website Navigation,4,"Navigation menus are more organized now.",2025-12
Kavya,Fee Payment,2,"Payment confirmation messages are unclear.",2025-12
Rahul,Exam Portal,1,"The exam portal crashes frequently during submissions.",2025-12
Ananya,Student Dashboard,5,"Dashboard widgets are now easier to understand.",2025-12
Vikram,Course Registration,3,"Course registration is manageable but still slightly slow.",2026-01
Neha,Library,4,"The search functionality in the library portal improved significantly.",2026-01
Arjun,Admissions,2,"I cannot easily find scholarship information.",2026-01
Ishita,Hostel Portal,4,"Hostel complaint submission became much simpler.",2026-01
Dev,Website Navigation,5,"The homepage layout looks cleaner now.",2026-02
Meera,Fee Payment,2,"The payment page still gives timeout errors.",2026-02
Karan,Exam Portal,3,"Exam schedules are easier to access now.",2026-02
Pooja,Student Dashboard,4,"The student dashboard is visually more appealing.",2026-02
Yash,Attendance Portal,1,"Attendance data sometimes disappears unexpectedly.",2026-03
Simran,Course Registration,5,"Registering for electives is much smoother now.",2026-03
Aryan,Library,4,"The updated filters make book searching faster.",2026-03
Nisha,Admissions,2,"Too many steps are required during registration.",2026-03
Manav,Website Navigation,5,"Menus are intuitive and easy to locate.",2026-04
Ritika,Fee Payment,3,"The fee payment workflow improved slightly.",2026-04
Siddharth,Exam Portal,4,"Notifications about exam updates are clearer now.",2026-04
Tanya,Hostel Portal,2,"Room allocation information is difficult to understand.",2026-04
Krishna,Student Dashboard,5,"Graphs and academic summaries are extremely useful.",2026-05
Aisha,Attendance Portal,4,"Attendance reports load much faster now.",2026-05
Harsh,Course Registration,2,"Some buttons are still hard to locate.",2026-05
Diya,Library,5,"The mobile experience for the library portal improved a lot.",2026-05
Vivaan,Admissions,3,"The admission process is better but still needs simplification.",2026-05
Sara,Website Navigation,5,"The website now feels modern and user friendly.",2026-05
Reyansh,Library,4,"The library homepage is cleaner and easier to understand.",2025-11
Kiara,Admissions,2,"The admission portal takes too long to load.",2025-11
Dhruv,Exam Portal,1,"I lost my exam form because the page refreshed suddenly.",2025-11
Anika,Website Navigation,5,"The updated menu structure is very intuitive.",2025-11
Kabir,Fee Payment,3,"The payment process improved but receipts are delayed.",2025-11
Myra,Attendance Portal,4,"Attendance summaries are now more readable.",2025-12
Ayaan,Student Dashboard,5,"The dashboard design looks much more modern now.",2025-12
Navya,Course Registration,2,"Elective selection is still confusing.",2025-12
Veer,Library,4,"Search filters work faster than before.",2025-12
Siya,Admissions,1,"I could not upload documents properly.",2025-12
